,new_name
544,galanga resurrectionlily rhizome
545,crataegi folium
546,pokeberry root
547,common cnidium fruit
548,blackberrylily rhizome
549,common clubmoss herb
550,mahoniae eadix
551,leaf of leatherleaf mahonia
552,grassleaf sweetflag rhizome
553,salviae chinensis herba
554,selaginella doederleinii hieron
555,pyrrosiae folium
556,fruit of rangooncreeper
557,calyx and receptacle of a persimmon
558,gphalii affinis herba
559,prince's-feather fruit
560,purpleflower holly leaf
561,"knotty pine wood, pine nodular branch"
562,semen pini koraiensis
563,storax
564,buckeye seed
565,heterophylly falsestarwort root
566,sandalwood
567,cochinchinese asparagus root
568,"trichosanthes root, skegourd root"
569,muskroot-like semiaquilegia root
570,jackinthepulpit tuber
571,saussureae involucratae herba
572,dutchmanspipe vine
573,henbane seed
574,chinese schinzostachyum tabasheer
575,muskmelon seed
576,root and rhizome of smilax
577,herba clematidis aethusaefoliae
578,"lepidium seed, descurainia seed"
579,puth of ricepaperplant
580,paniculate bolbostemma
581,pseudolaricis cortex
582,arc shell
583,cotyledon fimbriata turcz.
584,chinese cinquefoil
585,cayratiae japonicae herba
586,sapindi mukorossi semen
587,sapindi mukorossiperic arpium
588,medicil evodia fruit
589,semen firmiae
590,chinese gall
591,chinese tamarisk twig
592,american ginseng
593,siegesbeckiae herba
594,all-grass manchurian wildginger
595,decumbent corydalis rhizome
596,all - grss of hairyvein agrimonia
597,rhizome of common curculigo
598,veronicae peregrie herba
599,abrus precatorius l.
600,cortex periplocae radicis
601,paniculate swallowwort root
602,himalayan teasel root
603,hemerocallis radix
604,figwort root
605,inula flower
606,rhizoma seu herba aristolochiae mollissimae
607,java brucea fruit
608,all-grass of common dayflower
609,corydalis tuber
610,datura flower
611,wild chrysanthemum flower
612,solidaginis herba
613,sinkiang fritillary bulb
614,alpiniae oxyphyliae fructus
615,starwort root
616,epimrdii herba
617,poppy capsule
618,globethistle root
619,akebia fruit
620,flower bud of lilac daphne
621,coriandri sativi herba
622,chinese rose flower
623,coriolus versicolor
624,gleditsiae sinensis semen
625,spine of chinese honeylocust
626,hirsute shiny bugleweed herb
627,euphorbiae helioscopiae herba
628,bulb of thunberg fritillary
629,fruit of seville orange
630,immature fruit of seville orange
631,all-grass of glabrous sarcandra
632,chinese honeylocust abnormal fruit
633,pacis japonici rhizoma
634,bamboo juice
635,ramine root 
636,arnebia root gromwell root
637,tokyo violet herb
638,peucedanidecursivi radix
639,perilla frutescens
640,root of tatarian aster
